artikelcode,merk,omschrijving
WS1046754,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit standaard max. 9W 3000K-6000K 3-CCT max. 1000lm 100D Ø146 Buitenmaat - Gatmaat Ø120 excl. LED Driver
WV1046761,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit verdiept max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø176 Buitenmaat - Gatmaat Ø150 excl. LED Driver
WV1046778,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit verdiept max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø226 Buitenmaat - Gatmaat Ø200 excl. LED Driver
WV1046747,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 wit verdiept max. 6W 3000K-6000K 3-CCT max. 690lm 100D Ø110 Buitenmaat - Gatmaat Ø90 excl. LED Driver
ZO1046761,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart opbouw max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø150x80(H) Buitenmaat excl. LED Driver
ZO1046778,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart opbouw max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø200x80(H) Buitenmaat excl. LED Driver
ZS1046761,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart standaard max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø200 Buitenmaat - Gatmaat Ø150 excl. LED Driver
ZS1046778,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart standaard max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø250 Buitenmaat - Gatmaat Ø200 excl. LED Driver
ZV1046761,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 15W 3000K-6000K 3-CCT max. 1650lm 100D Ø176 B - G Ø150 excl. LED Driver
ZV1046778,Pragmalux,Pragmalux LED Downlight Essence G2 IP54 zwart verdiept max. 21W 3000K-6000K 3-CCT max. 2450lm 100D Ø226 B - G Ø200 excl. LED Driver
1046808,Pragmalux,Pragmalux LED Downlight Essence G2 licht verdiepte frame PC Ø110 Wit
1046785,Pragmalux,Pragmalux LED Downlight Essence G2 licht verdiepte frame PC Ø110 Zwart
1046815,Pragmalux,Pragmalux LED Downlight Essence G2 licht verdiepte frame PC Ø146 Wit
1046792,Pragmalux,Pragmalux LED Downlight Essence G2 licht verdiepte frame PC Ø146 Zwart
1046846,Pragmalux,Pragmalux LED Downlight Essence G2 licht verdiepte frame PC Ø200 Wit
1046822,Pragmalux,Pragmalux LED Downlight Essence G2 licht verdiepte frame PC Ø200 Zwart
